ID,Number,Name,Type1,Type2,Total,HP,Atk,Def,SpAtk,SpDef,Spd,Species,Height,Weight
1,001,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,Seed Pokémon,0.7 m,6.9 kg
2,002,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,Seed Pokémon,1.0 m,13.0 kg
3,003,Venusaur,Grass,Poison,525,80,82,83,100,100,80,Seed Pokémon,2.0 m,100.0 kg
4,003,Venusaur(Mega Venusaur),Grass,Poison,625,80,100,123,122,120,80,Seed Pokémon,2.4 m,155.5 kg
5,004,Charmander,Fire,,309,39,52,43,60,50,65,Lizard Pokémon,0.6 m,8.5 kg
6,005,Charmeleon,Fire,,405,58,64,58,80,65,80,Flame Pokémon,1.1 m,19.0 kg
7,006,Charizard,Fire,Flying,534,78,84,78,109,85,100,Flame Pokémon,1.7 m,90.5 kg
8,006,Charizard(Mega Charizard X),Fire,Dragon,634,78,130,111,130,85,100,Flame Pokémon,1.7 m,110.5 kg
9,006,Charizard(Mega Charizard Y),Fire,Flying,634,78,104,78,159,115,100,Flame Pokémon,1.7 m,100.5 kg
10,007,Squirtle,Water,,314,44,48,65,50,64,43,Tiny Turtle Pokémon,0.5 m,9.0 kg
11,008,Wartortle,Water,,405,59,63,80,65,80,58,Turtle Pokémon,1.0 m,22.5 kg
12,009,Blastoise,Water,,530,79,83,100,85,105,78,Shellfish Pokémon,1.6 m,85.5 kg
13,009,Blastoise(Mega Blastoise),Water,,630,79,103,120,135,115,78,Shellfish Pokémon,1.6 m,101.1 kg
14,010,Caterpie,Bug,,195,45,30,35,20,20,45,Worm Pokémon,0.3 m,2.9 kg
15,011,Metapod,Bug,,205,50,20,55,25,25,30,Cocoon Pokémon,0.7 m,9.9 kg
16,012,Butterfree,Bug,Flying,395,60,45,50,90,80,70,Butterfly Pokémon,1.1 m,32.0 kg
17,013,Weedle,Bug,Poison,195,40,35,30,20,20,50,Hairy Bug Pokémon,0.3 m,3.2 kg
18,014,Kakuna,Bug,Poison,205,45,25,50,25,25,35,Cocoon Pokémon,0.6 m,10.0 kg
19,015,Beedrill,Bug,Poison,395,65,90,40,45,80,75,Poison Bee Pokémon,1.0 m,29.5 kg
20,015,Beedrill(Mega Beedrill),Bug,Poison,495,65,150,40,15,80,145,Poison Bee Pokémon,1.4 m,40.5 kg
21,016,Pidgey,Normal,Flying,251,40,45,40,35,35,56,Tiny Bird Pokémon,0.3 m,1.8 kg
22,017,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,Bird Pokémon,1.1 m,30.0 kg
23,018,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,Bird Pokémon,1.5 m,39.5 kg
24,018,Pidgeot(Mega Pidgeot),Normal,Flying,579,83,80,80,135,80,121,Bird Pokémon,2.2 m,50.5 kg
25,019,Rattata,Normal,,253,30,56,35,25,35,72,Mouse Pokémon,0.3 m,3.5 kg
26,019,Rattata(Alolan Rattata),Dark,Normal,253,30,56,35,25,35,72,Mouse Pokémon,0.3 m,3.8 kg
27,020,Raticate,Normal,,413,55,81,60,50,70,97,Mouse Pokémon,0.7 m,18.5 kg
28,020,Raticate(Alolan Raticate),Dark,Normal,413,75,71,70,40,80,77,Mouse Pokémon,0.7 m,25.5 kg
29,021,Spearow,Normal,Flying,262,40,60,30,31,31,70,Tiny Bird Pokémon,0.3 m,2.0 kg
30,022,Fearow,Normal,Flying,442,65,90,65,61,61,100,Beak Pokémon,1.2 m,38.0 kg
31,023,Ekans,Poison,,288,35,60,44,40,54,55,Snake Pokémon,2.0 m,6.9 kg
32,024,Arbok,Poison,,448,60,95,69,65,79,80,Cobra Pokémon,3.5 m,65.0 kg
33,025,Pikachu,Electric,,320,35,55,40,50,50,90,Mouse Pokémon,0.4 m,6.0 kg
34,025,Pikachu(Partner Pikachu),Electric,,430,45,80,50,75,60,120,Mouse Pokémon,0.4 m,6.0 kg
35,026,Raichu,Electric,,485,60,90,55,90,80,110,Mouse Pokémon,0.8 m,30.0 kg
36,026,Raichu(Alolan Raichu),Electric,Psychic,485,60,85,50,95,85,110,Mouse Pokémon,0.7 m,21.0 kg
37,027,Sandshrew,Ground,,300,50,75,85,20,30,40,Mouse Pokémon,0.6 m,12.0 kg
38,027,Sandshrew(Alolan Sandshrew),Ice,Steel,300,50,75,90,10,35,40,Mouse Pokémon,0.7 m,40.0 kg
39,028,Sandslash,Ground,,450,75,100,110,45,55,65,Mouse Pokémon,1.0 m,29.5 kg
40,028,Sandslash(Alolan Sandslash),Ice,Steel,450,75,100,120,25,65,65,Mouse Pokémon,1.2 m,55.0 kg
41,029,Nidoran♀,Poison,,275,55,47,52,40,40,41,Poison Pin Pokémon,0.4 m,7.0 kg
42,030,Nidorina,Poison,,365,70,62,67,55,55,56,Poison Pin Pokémon,0.8 m,20.0 kg
43,031,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,Drill Pokémon,1.3 m,60.0 kg
44,032,Nidoran♂,Poison,,273,46,57,40,40,40,50,Poison Pin Pokémon,0.5 m,9.0 kg
45,033,Nidorino,Poison,,365,61,72,57,55,55,65,Poison Pin Pokémon,0.9 m,19.5 kg
46,034,Nidoking,Poison,Ground,505,81,102,77,85,75,85,Drill Pokémon,1.4 m,62.0 kg
47,035,Clefairy,Fairy,,323,70,45,48,60,65,35,Fairy Pokémon,0.6 m,7.5 kg
48,036,Clefable,Fairy,,483,95,70,73,95,90,60,Fairy Pokémon,1.3 m,40.0 kg
49,037,Vulpix,Fire,,299,38,41,40,50,65,65,Fox Pokémon,0.6 m,9.9 kg
50,037,Vulpix(Alolan Vulpix),Ice,,299,38,41,40,50,65,65,Fox Pokémon,0.6 m,9.9 kg
51,038,Ninetales,Fire,,505,73,76,75,81,100,100,Fox Pokémon,1.1 m,19.9 kg
52,038,Ninetales(Alolan Ninetales),Ice,Fairy,505,73,67,75,81,100,109,Fox Pokémon,1.1 m,19.9 kg
53,039,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,Balloon Pokémon,0.5 m,5.5 kg
54,040,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,Balloon Pokémon,1.0 m,12.0 kg
55,041,Zubat,Poison,Flying,245,40,45,35,30,40,55,Bat Pokémon,0.8 m,7.5 kg
56,042,Golbat,Poison,Flying,455,75,80,70,65,75,90,Bat Pokémon,1.6 m,55.0 kg
57,043,Oddish,Grass,Poison,320,45,50,55,75,65,30,Weed Pokémon,0.5 m,5.4 kg
58,044,Gloom,Grass,Poison,395,60,65,70,85,75,40,Weed Pokémon,0.8 m,8.6 kg
59,045,Vileplume,Grass,Poison,490,75,80,85,110,90,50,Flower Pokémon,1.2 m,18.6 kg
60,046,Paras,Bug,Grass,285,35,70,55,45,55,25,Mushroom Pokémon,0.3 m,5.4 kg
61,047,Parasect,Bug,Grass,405,60,95,80,60,80,30,Mushroom Pokémon,1.0 m,29.5 kg
62,048,Venonat,Bug,Poison,305,60,55,50,40,55,45,Insect Pokémon,1.0 m,30.0 kg
63,049,Venomoth,Bug,Poison,450,70,65,60,90,75,90,Poison Moth Pokémon,1.5 m,12.5 kg
64,050,Diglett,Ground,,265,10,55,25,35,45,95,Mole Pokémon,0.2 m,0.8 kg
65,050,Diglett(Alolan Diglett),Ground,Steel,265,10,55,30,35,45,90,Mole Pokémon,0.2 m,1.0 kg
66,051,Dugtrio,Ground,,425,35,100,50,50,70,120,Mole Pokémon,0.7 m,33.3 kg
67,051,Dugtrio(Alolan Dugtrio),Ground,Steel,425,35,100,60,50,70,110,Mole Pokémon,0.7 m,66.6 kg
68,052,Meowth,Normal,,290,40,45,35,40,40,90,Scratch Cat Pokémon,0.4 m,4.2 kg
69,052,Meowth(Alolan Meowth),Dark,,290,40,35,35,50,40,90,Scratch Cat Pokémon,0.4 m,4.2 kg
70,052,Meowth(Galarian Meowth),Steel,,290,50,65,55,40,40,40,Scratch Cat Pokémon,0.4 m,7.5 kg
71,053,Persian,Normal,,440,65,70,60,65,65,115,Classy Cat Pokémon,1.0 m,32.0 kg
72,053,Persian(Alolan Persian),Dark,,440,65,60,60,75,65,115,Classy Cat Pokémon,1.1 m,33.0 kg
73,054,Psyduck,Water,,320,50,52,48,65,50,55,Duck Pokémon,0.8 m,19.6 kg
74,055,Golduck,Water,,500,80,82,78,95,80,85,Duck Pokémon,1.7 m,76.6 kg
75,056,Mankey,Fighting,,305,40,80,35,35,45,70,Pig Monkey Pokémon,0.5 m,28.0 kg
76,057,Primeape,Fighting,,455,65,105,60,60,70,95,Pig Monkey Pokémon,1.0 m,32.0 kg
77,058,Growlithe,Fire,,350,55,70,45,70,50,60,Puppy Pokémon,0.7 m,19.0 kg
78,059,Arcanine,Fire,,555,90,110,80,100,80,95,Legendary Pokémon,1.9 m,155.0 kg
79,060,Poliwag,Water,,300,40,50,40,40,40,90,Tadpole Pokémon,0.6 m,12.4 kg
80,061,Poliwhirl,Water,,385,65,65,65,50,50,90,Tadpole Pokémon,1.0 m,20.0 kg
81,062,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,Tadpole Pokémon,1.3 m,54.0 kg
82,063,Abra,Psychic,,310,25,20,15,105,55,90,Psi Pokémon,0.9 m,19.5 kg
83,064,Kadabra,Psychic,,400,40,35,30,120,70,105,Psi Pokémon,1.3 m,56.5 kg
84,065,Alakazam,Psychic,,500,55,50,45,135,95,120,Psi Pokémon,1.5 m,48.0 kg
85,065,Alakazam(Mega Alakazam),Psychic,,600,55,50,65,175,105,150,Psi Pokémon,1.2 m,48.0 kg
86,066,Machop,Fighting,,305,70,80,50,35,35,35,Superpower Pokémon,0.8 m,19.5 kg
87,067,Machoke,Fighting,,405,80,100,70,50,60,45,Superpower Pokémon,1.5 m,70.5 kg
88,068,Machamp,Fighting,,505,90,130,80,65,85,55,Superpower Pokémon,1.6 m,130.0 kg
89,069,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,Flower Pokémon,0.7 m,4.0 kg
90,070,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,Flycatcher Pokémon,1.0 m,6.4 kg
91,071,Victreebel,Grass,Poison,490,80,105,65,100,70,70,Flycatcher Pokémon,1.7 m,15.5 kg
92,072,Tentacool,Water,Poison,335,40,40,35,50,100,70,Jellyfish Pokémon,0.9 m,45.5 kg
93,073,Tentacruel,Water,Poison,515,80,70,65,80,120,100,Jellyfish Pokémon,1.6 m,55.0 kg
94,074,Geodude,Rock,Ground,300,40,80,100,30,30,20,Rock Pokémon,0.4 m,20.0 kg
95,074,Geodude(Alolan Geodude),Rock,Electric,300,40,80,100,30,30,20,Rock Pokémon,0.4 m,20.3 kg
96,075,Graveler,Rock,Ground,390,55,95,115,45,45,35,Rock Pokémon,1.0 m,105.0 kg
97,075,Graveler(Alolan Graveler),Rock,Electric,390,55,95,115,45,45,35,Rock Pokémon,1.0 m,110.0 kg
98,076,Golem,Rock,Ground,495,80,120,130,55,65,45,Megaton Pokémon,1.4 m,300.0 kg
99,076,Golem(Alolan Golem),Rock,Electric,495,80,120,130,55,65,45,Megaton Pokémon,1.7 m,316.0 kg
100,077,Ponyta,Fire,,410,50,85,55,65,65,90,Fire Horse Pokémon,1.0 m,30.0 kg
101,077,Ponyta(Galarian Ponyta),Psychic,,410,50,85,55,65,65,90,Unique Horn Pokémon,0.8 m,24.0 kg
102,078,Rapidash,Fire,,500,65,100,70,80,80,105,Fire Horse Pokémon,1.7 m,95.0 kg
103,078,Rapidash(Galarian Rapidash),Psychic,Fairy,500,65,100,70,80,80,105,Unique Horn Pokémon,1.7 m,80.0 kg
104,079,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,Dopey Pokémon,1.2 m,36.0 kg
105,079,Slowpoke(Galarian Slowpoke),Psychic,,315,90,65,65,40,40,15,Dopey Pokémon,1.2 m,36.0 kg
106,080,Slowbro,Water,Psychic,490,95,75,110,100,80,30,Hermit Crab Pokémon,1.6 m,78.5 kg
107,080,Slowbro(Mega Slowbro),Water,Psychic,590,95,75,180,130,80,30,Hermit Crab Pokémon,2.0 m,120.0 kg
108,080,Slowbro(Galarian Slowbro),Poison,Psychic,490,95,100,95,100,70,30,Hermit Crab Pokémon,1.6 m,70.5 kg
109,081,Magnemite,Electric,Steel,325,25,35,70,95,55,45,Magnet Pokémon,0.3 m,6.0 kg
110,082,Magneton,Electric,Steel,465,50,60,95,120,70,70,Magnet Pokémon,1.0 m,60.0 kg
111,083,Farfetch'd,Normal,Flying,377,52,90,55,58,62,60,Wild Duck Pokémon,0.8 m,15.0 kg
112,083,Farfetch'd(Galarian Farfetch'd),Fighting,,377,52,95,55,58,62,55,Wild Duck Pokémon,0.8 m,42.0 kg
113,084,Doduo,Normal,Flying,310,35,85,45,35,35,75,Twin Bird Pokémon,1.4 m,39.2 kg
114,085,Dodrio,Normal,Flying,470,60,110,70,60,60,110,Triple Bird Pokémon,1.8 m,85.2 kg
115,086,Seel,Water,,325,65,45,55,45,70,45,Sea Lion Pokémon,1.1 m,90.0 kg
116,087,Dewgong,Water,Ice,475,90,70,80,70,95,70,Sea Lion Pokémon,1.7 m,120.0 kg
117,088,Grimer,Poison,,325,80,80,50,40,50,25,Sludge Pokémon,0.9 m,30.0 kg
118,088,Grimer(Alolan Grimer),Poison,Dark,325,80,80,50,40,50,25,Sludge Pokémon,0.7 m,42.0 kg
119,089,Muk,Poison,,500,105,105,75,65,100,50,Sludge Pokémon,1.2 m,30.0 kg
120,089,Muk(Alolan Muk),Poison,Dark,500,105,105,75,65,100,50,Sludge Pokémon,1.0 m,52.0 kg
121,090,Shellder,Water,,305,30,65,100,45,25,40,Bivalve Pokémon,0.3 m,4.0 kg
122,091,Cloyster,Water,Ice,525,50,95,180,85,45,70,Bivalve Pokémon,1.5 m,132.5 kg
123,092,Gastly,Ghost,Poison,310,30,35,30,100,35,80,Gas Pokémon,1.3 m,0.1 kg
124,093,Haunter,Ghost,Poison,405,45,50,45,115,55,95,Gas Pokémon,1.6 m,0.1 kg
125,094,Gengar,Ghost,Poison,500,60,65,60,130,75,110,Shadow Pokémon,1.5 m,40.5 kg
126,094,Gengar(Mega Gengar),Ghost,Poison,600,60,65,80,170,95,130,Shadow Pokémon,1.4 m,40.5 kg
127,095,Onix,Rock,Ground,385,35,45,160,30,45,70,Rock Snake Pokémon,8.8 m,210.0 kg
128,096,Drowzee,Psychic,,328,60,48,45,43,90,42,Hypnosis Pokémon,1.0 m,32.4 kg
129,097,Hypno,Psychic,,483,85,73,70,73,115,67,Hypnosis Pokémon,1.6 m,75.6 kg
130,098,Krabby,Water,,325,30,105,90,25,25,50,River Crab Pokémon,0.4 m,6.5 kg
131,099,Kingler,Water,,475,55,130,115,50,50,75,Pincer Pokémon,1.3 m,60.0 kg
132,100,Voltorb,Electric,,330,40,30,50,55,55,100,Ball Pokémon,0.5 m,10.4 kg
133,101,Electrode,Electric,,490,60,50,70,80,80,150,Ball Pokémon,1.2 m,66.6 kg
134,102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,Egg Pokémon,0.4 m,2.5 kg
135,103,Exeggutor,Grass,Psychic,530,95,95,85,125,75,55,Coconut Pokémon,2.0 m,120.0 kg
136,103,Exeggutor(Alolan Exeggutor),Grass,Dragon,530,95,105,85,125,75,45,Coconut Pokémon,10.9 m,415.6 kg
137,104,Cubone,Ground,,320,50,50,95,40,50,35,Lonely Pokémon,0.4 m,6.5 kg
138,105,Marowak,Ground,,425,60,80,110,50,80,45,Bone Keeper Pokémon,1.0 m,45.0 kg
139,105,Marowak(Alolan Marowak),Fire,Ghost,425,60,80,110,50,80,45,Bone Keeper Pokémon,1.0 m,34.0 kg
140,106,Hitmonlee,Fighting,,455,50,120,53,35,110,87,Kicking Pokémon,1.5 m,49.8 kg
141,107,Hitmonchan,Fighting,,455,50,105,79,35,110,76,Punching Pokémon,1.4 m,50.2 kg
142,108,Lickitung,Normal,,385,90,55,75,60,75,30,Licking Pokémon,1.2 m,65.5 kg
143,109,Koffing,Poison,,340,40,65,95,60,45,35,Poison Gas Pokémon,0.6 m,1.0 kg
144,110,Weezing,Poison,,490,65,90,120,85,70,60,Poison Gas Pokémon,1.2 m,9.5 kg
145,110,Weezing(Galarian Weezing),Poison,Fairy,490,65,90,120,85,70,60,Poison Gas Pokémon,3.0 m,16.0 kg
146,111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,Spikes Pokémon,1.0 m,115.0 kg
147,112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,Drill Pokémon,1.9 m,120.0 kg
148,113,Chansey,Normal,,450,250,5,5,35,105,50,Egg Pokémon,1.1 m,34.6 kg
149,114,Tangela,Grass,,435,65,55,115,100,40,60,Vine Pokémon,1.0 m,35.0 kg
150,115,Kangaskhan,Normal,,490,105,95,80,40,80,90,Parent Pokémon,2.2 m,80.0 kg
151,115,Kangaskhan(Mega Kangaskhan),Normal,,590,105,125,100,60,100,100,Parent Pokémon,2.2 m,100.0 kg
152,116,Horsea,Water,,295,30,40,70,70,25,60,Dragon Pokémon,0.4 m,8.0 kg
153,117,Seadra,Water,,440,55,65,95,95,45,85,Dragon Pokémon,1.2 m,25.0 kg
154,118,Goldeen,Water,,320,45,67,60,35,50,63,Goldfish Pokémon,0.6 m,15.0 kg
155,119,Seaking,Water,,450,80,92,65,65,80,68,Goldfish Pokémon,1.3 m,39.0 kg
156,120,Staryu,Water,,340,30,45,55,70,55,85,Star Shape Pokémon,0.8 m,34.5 kg
157,121,Starmie,Water,Psychic,520,60,75,85,100,85,115,Mysterious Pokémon,1.1 m,80.0 kg
158,122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,Barrier Pokémon,1.3 m,54.5 kg
159,122,Mr. Mime(Galarian Mr. Mime),Ice,Psychic,460,50,65,65,90,90,100,Dancing Pokémon,1.4 m,56.8 kg
160,123,Scyther,Bug,Flying,500,70,110,80,55,80,105,Mantis Pokémon,1.5 m,56.0 kg
161,124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,Human Shape Pokémon,1.4 m,40.6 kg
162,125,Electabuzz,Electric,,490,65,83,57,95,85,105,Electric Pokémon,1.1 m,30.0 kg
163,126,Magmar,Fire,,495,65,95,57,100,85,93,Spitfire Pokémon,1.3 m,44.5 kg
164,127,Pinsir,Bug,,500,65,125,100,55,70,85,Stag Beetle Pokémon,1.5 m,55.0 kg
165,127,Pinsir(Mega Pinsir),Bug,Flying,600,65,155,120,65,90,105,Stag Beetle Pokémon,1.7 m,59.0 kg
166,128,Tauros,Normal,,490,75,100,95,40,70,110,Wild Bull Pokémon,1.4 m,88.4 kg
167,129,Magikarp,Water,,200,20,10,55,15,20,80,Fish Pokémon,0.9 m,10.0 kg
168,130,Gyarados,Water,Flying,540,95,125,79,60,100,81,Atrocious Pokémon,6.5 m,235.0 kg
169,130,Gyarados(Mega Gyarados),Water,Dark,640,95,155,109,70,130,81,Atrocious Pokémon,6.5 m,305.0 kg
170,131,Lapras,Water,Ice,535,130,85,80,85,95,60,Transport Pokémon,2.5 m,220.0 kg
171,132,Ditto,Normal,,288,48,48,48,48,48,48,Transform Pokémon,0.3 m,4.0 kg
172,133,Eevee,Normal,,325,55,55,50,45,65,55,Evolution Pokémon,0.3 m,6.5 kg
173,133,Eevee(Partner Eevee),Normal,,435,65,75,70,65,85,75,Evolution Pokémon,0.3 m,6.5 kg
174,134,Vaporeon,Water,,525,130,65,60,110,95,65,Bubble Jet Pokémon,1.0 m,29.0 kg
175,135,Jolteon,Electric,,525,65,65,60,110,95,130,Lightning Pokémon,0.8 m,24.5 kg
176,136,Flareon,Fire,,525,65,130,60,95,110,65,Flame Pokémon,0.9 m,25.0 kg
177,137,Porygon,Normal,,395,65,60,70,85,75,40,Virtual Pokémon,0.8 m,36.5 kg
178,138,Omanyte,Rock,Water,355,35,40,100,90,55,35,Spiral Pokémon,0.4 m,7.5 kg
179,139,Omastar,Rock,Water,495,70,60,125,115,70,55,Spiral Pokémon,1.0 m,35.0 kg
180,140,Kabuto,Rock,Water,355,30,80,90,55,45,55,Shellfish Pokémon,0.5 m,11.5 kg
181,141,Kabutops,Rock,Water,495,60,115,105,65,70,80,Shellfish Pokémon,1.3 m,40.5 kg
182,142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,Fossil Pokémon,1.8 m,59.0 kg
183,142,Aerodactyl(Mega Aerodactyl),Rock,Flying,615,80,135,85,70,95,150,Fossil Pokémon,2.1 m,79.0 kg
184,143,Snorlax,Normal,,540,160,110,65,65,110,30,Sleeping Pokémon,2.1 m,460.0 kg
185,144,Articuno,Ice,Flying,580,90,85,100,95,125,85,Freeze Pokémon,1.7 m,55.4 kg
186,144,Articuno(Galarian Articuno),Psychic,Flying,580,90,85,85,125,100,95,Cruel Pokémon,1.7 m,50.9 kg
187,145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,Electric Pokémon,1.6 m,52.6 kg
188,145,Zapdos(Galarian Zapdos),Fighting,Flying,580,90,125,90,85,90,100,Strong Legs Pokémon,1.6 m,58.2 kg
189,146,Moltres,Fire,Flying,580,90,100,90,125,85,90,Flame Pokémon,2.0 m,60.0 kg
190,146,Moltres(Galarian Moltres),Dark,Flying,580,90,85,90,100,125,90,Malevolent Pokémon,2.0 m,66.0 kg
191,147,Dratini,Dragon,,300,41,64,45,50,50,50,Dragon Pokémon,1.8 m,3.3 kg
192,148,Dragonair,Dragon,,420,61,84,65,70,70,70,Dragon Pokémon,4.0 m,16.5 kg
193,149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,Dragon Pokémon,2.2 m,210.0 kg
194,150,Mewtwo,Psychic,,680,106,110,90,154,90,130,Genetic Pokémon,2.0 m,122.0 kg
195,150,Mewtwo(Mega Mewtwo X),Psychic,Fighting,780,106,190,100,154,100,130,Genetic Pokémon,2.3 m,127.0 kg
196,150,Mewtwo(Mega Mewtwo Y),Psychic,,780,106,150,70,194,120,140,Genetic Pokémon,1.5 m,33.0 kg
197,151,Mew,Psychic,,600,100,100,100,100,100,100,New Species Pokémon,0.4 m,4.0 kg
198,152,Chikorita,Grass,,318,45,49,65,49,65,45,Leaf Pokémon,0.9 m,6.4 kg
199,153,Bayleef,Grass,,405,60,62,80,63,80,60,Leaf Pokémon,1.2 m,15.8 kg
200,154,Meganium,Grass,,525,80,82,100,83,100,80,Herb Pokémon,1.8 m,100.5 kg
201,155,Cyndaquil,Fire,,309,39,52,43,60,50,65,Fire Mouse Pokémon,0.5 m,7.9 kg
202,156,Quilava,Fire,,405,58,64,58,80,65,80,Volcano Pokémon,0.9 m,19.0 kg
203,157,Typhlosion,Fire,,534,78,84,78,109,85,100,Volcano Pokémon,1.7 m,79.5 kg
204,158,Totodile,Water,,314,50,65,64,44,48,43,Big Jaw Pokémon,0.6 m,9.5 kg
205,159,Croconaw,Water,,405,65,80,80,59,63,58,Big Jaw Pokémon,1.1 m,25.0 kg
206,160,Feraligatr,Water,,530,85,105,100,79,83,78,Big Jaw Pokémon,2.3 m,88.8 kg
207,161,Sentret,Normal,,215,35,46,34,35,45,20,Scout Pokémon,0.8 m,6.0 kg
208,162,Furret,Normal,,415,85,76,64,45,55,90,Long Body Pokémon,1.8 m,32.5 kg
209,163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,Owl Pokémon,0.7 m,21.2 kg
